HPM20_mon output - time series of water dynamics - units: depth/thickness: m or m/y; time: y 
 time  annWTD   annPPT   annSnow  annRain  annSublim  annAET   annPET   annRUNOFF annRUNON   annNetWatIn  
   55.5    0.04000    0.49669    0.22304    0.27526    0.05971    0.00000    0.00000    0.00000    0.00000    0.00000   
   56.5    0.04000    0.48046    0.17554    0.30537    0.08182    0.00000    0.00000    0.00000    0.00000    0.00000   
   57.5    0.04000    0.45262    0.19690    0.26149    0.06273    0.00000    0.00000    0.00000    0.00000    0.00000   
   58.5    0.04000    0.37874    0.17212    0.20443    0.06123    0.00000    0.00000    0.00000    0.00000    0.00000   
   59.5    0.04000    0.46732    0.18314    0.28065    0.05854    0.00000    0.00000    0.00000    0.00000    0.00000   
   60.5    0.04000    0.50790    0.21672    0.29696    0.05926    0.00000    0.00000    0.00000    0.00000    0.00000   
   61.5    0.04000    0.36344    0.14911    0.21403    0.04564    0.00000    0.00000    0.00000    0.00000    0.00000   
   62.5    0.04000    0.39620    0.17596    0.22025    0.06497    0.00000    0.00000    0.00000    0.00000    0.00000   
   63.5    0.04000    0.45088    0.22131    0.23072    0.07058    0.00000    0.00000    0.00000    0.00000    0.00000   
   64.5    0.04000    0.42490    0.15154    0.27126    0.03906    0.00000    0.00000    0.00000    0.00000    0.00000   
   65.5    0.04000    0.41228    0.18386    0.22957    0.06153    0.00000    0.00000    0.00000    0.00000    0.00000   
   66.5    0.04000    0.43817    0.19738    0.24212    0.05411    0.00000    0.00000    0.00000    0.00000    0.00000   
   67.5    0.04000    0.40152    0.21204    0.19262    0.06674    0.00000    0.00000    0.00000    0.00000    0.00000   
   68.5    0.04000    0.40340    0.19395    0.20760    0.07146    0.00000    0.00000    0.00000    0.00000    0.00000   
   69.5    0.04000    0.48318    0.22817    0.25227    0.07645    0.00000    0.00000    0.00000    0.00000    0.00000   
   70.5    0.04000    0.37556    0.12597    0.25200    0.03750    0.00000    0.00000    0.00000    0.00000    0.00000   
   71.5    0.04000    0.48572    0.19501    0.29081    0.06352    0.00000    0.00000    0.00000    0.00000    0.00000   
   72.5    0.04000    0.42270    0.22757    0.19738    0.05916    0.00000    0.00000    0.00000    0.00000    0.00000   
   73.5    0.04000    0.47320    0.21977    0.25508    0.07434    0.00000    0.00000    0.00000    0.00000    0.00000   
   74.5    0.04000    0.48268    0.21222    0.27074    0.07551    0.00000    0.00000    0.00000    0.00000    0.00000   
   75.5    0.04000    0.50381    0.24289    0.25741    0.06425    0.00000    0.00000    0.00000    0.00000    0.00000   
   76.5    0.04000    0.40891    0.17825    0.23189    0.05599    0.00000    0.00000    0.00000    0.00000    0.00000   
   77.5    0.04000    0.44757    0.17407    0.27400    0.04457    0.00000    0.00000    0.00000    0.00000    0.00000   
   78.5    0.04000    0.40311    0.14928    0.25351    0.04974    0.00000    0.00000    0.00000    0.00000    0.00000   
   79.5    0.04000    0.40867    0.16057    0.24809    0.05800    0.00000    0.00000    0.00000    0.00000    0.00000   
   80.5    0.04000    0.43789    0.20145    0.23141    0.06856    0.00000    0.00000    0.00000    0.00000    0.00000   
   81.5    0.04000    0.48352    0.22911    0.25720    0.06990    0.00000    0.00000    0.00000    0.00000    0.00000   
   82.5    0.04000    0.41587    0.17810    0.23848    0.06501    0.00000    0.00000    0.00000    0.00000    0.00000   
   83.5    0.04000    0.42286    0.18931    0.23023    0.06095    0.00000    0.00000    0.00000    0.00000    0.00000   
   84.5    0.04000    0.42483    0.18429    0.23794    0.06697    0.00000    0.00000    0.00000    0.00000    0.00000   
   85.5    0.04000    0.51700    0.19562    0.32325    0.05231    0.00000    0.00000    0.00000    0.00000    0.00000   
   86.5    0.04000    0.35342    0.17416    0.17630    0.07610    0.00000    0.00000    0.00000    0.00000    0.00000   
   87.5    0.04000    0.45354    0.22473    0.23165    0.05979    0.00000    0.00000    0.00000    0.00000    0.00000   
   88.5    0.04000    0.40438    0.21440    0.19045    0.06153    0.00000    0.00000    0.00000    0.00000    0.00000   
   89.5    0.04000    0.41667    0.19586    0.22265    0.07692    0.00000    0.00000    0.00000    0.00000    0.00000   
   90.5    0.04000    0.42051    0.23543    0.18411    0.07401    0.00000    0.00000    0.00000    0.00000    0.00000   
   91.5    0.04000    0.45812    0.19336    0.26468    0.06433    0.00000    0.00000    0.00000    0.00000    0.00000   
   92.5    0.04000    0.44346    0.22321    0.22353    0.07096    0.00000    0.00000    0.00000    0.00000    0.00000   
   93.5    0.04000    0.48367    0.22614    0.25611    0.07704    0.00000    0.00000    0.00000    0.00000    0.00000   
   94.5    0.04000    0.47826    0.19401    0.28348    0.06534    0.00000    0.00000    0.00000    0.00000    0.00000   
   95.5    0.04000    0.54504    0.21349    0.32927    0.05756    0.00000    0.00000    0.00000    0.00000    0.00000   
   96.5    0.04000    0.36345    0.16954    0.19379    0.07088    0.00000    0.00000    0.00000    0.00000    0.00000   
   97.5    0.04000    0.46439    0.16148    0.30699    0.05482    0.00000    0.00000    0.00000    0.00000    0.00000   
   98.5    0.04000    0.41815    0.19957    0.21982    0.06781    0.00000    0.00000    0.00000    0.00000    0.00000   
   99.5    0.04000    0.44982    0.23064    0.22380    0.07426    0.00000    0.00000    0.00000    0.00000    0.00000   
  100.5    0.04000    0.41678    0.17433    0.24490    0.07764    0.00000    0.00000    0.00000    0.00000    0.00000   
  101.5    0.04000    0.45050    0.18890    0.26135    0.07120    0.00000    0.00000    0.00000    0.00000    0.00000   
  102.5    0.04000    0.44219    0.15299    0.28931    0.07701    0.00000    0.00000    0.00000    0.00000    0.00000   
  103.5    0.04000    0.50008    0.24784    0.25497    0.08353    0.00000    0.00000    0.00000    0.00000    0.00000   
  104.5    0.04000    0.45027    0.22376    0.22409    0.07499    0.00000    0.00000    0.00000    0.00000    0.00000   
  105.5    0.04000    0.43605    0.20808    0.22560    0.06543    0.00000    0.00000    0.00000    0.00000    0.00000   
  106.5    0.04000    0.45760    0.23141    0.22746    0.06767    0.00000    0.00000    0.00000    0.00000    0.00000   
  107.5    0.04000    0.47979    0.21886    0.25803    0.07330    0.00000    0.00000    0.00000    0.00000    0.00000   
  108.5    0.04000    0.40270    0.19487    0.20442    0.06253    0.00000    0.00000    0.00000    0.00000    0.00000   
  109.5    0.04000    0.48048    0.24539    0.23572    0.07710    0.00000    0.00000    0.00000    0.00000    0.00000   
  110.5    0.04000    0.41426    0.23390    0.18442    0.07478    0.00000    0.00000    0.00000    0.00000    0.00000   
  111.5    0.04000    0.44663    0.21257    0.23719    0.04596    0.00000    0.00000    0.00000    0.00000    0.00000   
  112.5    0.04000    0.49152    0.20677    0.28800    0.06774    0.00000    0.00000    0.00000    0.00000    0.00000   
  113.5    0.04000    0.42253    0.19369    0.23441    0.07823    0.00000    0.00000    0.00000    0.00000    0.00000   
  114.5    0.04000    0.38996    0.19407    0.19450    0.06700    0.00000    0.00000    0.00000    0.00000    0.00000   
  115.5    0.04000    0.35020    0.15754    0.19142    0.07252    0.00000    0.00000    0.00000    0.00000    0.00000   
  116.5    0.04000    0.46628    0.21410    0.25041    0.07239    0.00000    0.00000    0.00000    0.00000    0.00000   
  117.5    0.04000    0.43941    0.22349    0.21662    0.06329    0.00000    0.00000    0.00000    0.00000    0.00000   
