"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6566,2,0.00874008,-28.567
6566,3,0.0168492,-21.296
6566,4,0.0248537,-8.72924
6566,5,0.0444152,6.20441
6566,6,0.125888,13.2323
6566,7,0.0797407,14.989
6566,8,0.0597796,13.5758
6566,9,0.0393846,6.64131
6566,10,0.0351374,-5.792
6566,11,0.0314129,-17.456
6566,12,0.0213133,-21.8918
6565,1,0.017961,-24.8537
6565,2,0.0155836,-25.4109
6565,3,0.0127209,-21.5615
6565,4,0.0212293,-4.50817
6565,5,0.0320713,1.07544
6565,6,0.0524917,9.05356
6565,7,0.079348,16.2097
6565,8,0.0393033,13.5682
6565,9,0.0479803,6.11543
6565,10,0.027861,-5.01689
6565,11,0.0357301,-17.307
6565,12,0.0144193,-35.4428
6564,1,0.0267897,-27.5183
6564,2,0.0106697,-25.9446
6564,3,0.027931,-14.8742
6564,4,0.0264368,-6.34383
6564,5,0.0164645,4.0102
6564,6,0.0776058,11.1566
6564,7,0.105467,15.1284
6564,8,0.124611,15.0475
6564,9,0.0555633,5.2202
6564,10,0.0318015,-0.60185
6564,11,0.0188068,-23.5355
6564,12,0.0310108,-26.3201
6563,1,0.0195282,-25.3666
6563,2,0.0143995,-27.68
6563,3,0.0125443,-21.2854
6563,4,0.0217822,-7.58117
6563,5,0.0336872,0.0206337
6563,6,0.0701361,10.3551
6563,7,0.0701061,18.6006
6563,8,0.0769884,13.9435
6563,9,0.0410322,5.86381
6563,10,0.0444874,-3.58857
6563,11,0.0247402,-23.2853
6563,12,0.0232132,-26.7468
6562,1,0.0165877,-31.9616
6562,2,0.0179481,-28.3413
6562,3,0.0112147,-26.409
6562,4,0.0161725,-10.0923
6562,5,0.0199177,2.93802
6562,6,0.0796303,11.3699
6562,7,0.0841819,15.0609
6562,8,0.0403302,14.1333
6562,9,0.0266658,3.3286
6562,10,0.0245059,-8.12419
6562,11,0.02177,-30.5562
6562,12,0.0170287,-28.3788
6561,1,0.0139072,-31.4865
6561,2,0.00932433,-35.2252
6561,3,0.0113653,-20.0909
6561,4,0.0234241,-11.4813
6561,5,0.0219033,1.03342
6561,6,0.0599996,11.5773
6561,7,0.0989377,17.5247
6561,8,0.0681376,15.6054
6561,9,0.0569013,5.49601
6561,10,0.02703,-0.107373
6561,11,0.0297866,-15.7176
6561,12,0.0289407,-21.4065
6560,1,0.0133856,-39.7356
6560,2,0.0126199,-19.6565
6560,3,0.0182671,-9.96258
6560,4,0.0267701,-3.90899
6560,5,0.0264311,4.38004
6560,6,0.0368885,13.2902
6560,7,0.0812817,15.0801
6560,8,0.0640907,14.3056
6560,9,0.0554965,4.3119
6560,10,0.0371166,-2.6349
6560,11,0.0366973,-17.4648
6560,12,0.0261262,-34.7616
6559,1,0.0279505,-20.9196
6559,2,0.00887717,-24.4139
6559,3,0.0196651,-21.5732
6559,4,0.0257778,-5.72228
6559,5,0.0209837,-1.3945
6559,6,0.0636949,8.38016
6559,7,0.0433113,14.964
6559,8,0.0382767,13.1897
6559,9,0.0527264,2.82777
6559,10,0.034827,-5.00737
6559,11,0.0202009,-24.6184
6559,12,0.0183982,-28.0193
6558,1,0.0264435,-31.6919
6558,2,0.0075956,-31.2955
6558,3,0.012391,-18.503
6558,4,0.0132604,-11.4437
6558,5,0.0222669,2.15152
6558,6,0.0460543,10.4117
6558,7,0.0977249,17.391
6558,8,0.0474699,16.1144
6558,9,0.0502742,5.19407
