"years_forcing","months_forcing","precipforc_1","tsaforc_1"
5797,12,0.00863679,-32.1917
5796,1,0.00818144,-32.8257
5796,2,0.0044202,-33.169
5796,3,0.018083,-27.6358
5796,4,0.0153849,-9.20509
5796,5,0.0167307,-3.16104
5796,6,0.0476503,9.6349
5796,7,0.0658125,16.2349
5796,8,0.0336764,13.3144
5796,9,0.0358439,5.42403
5796,10,0.0324874,-5.42751
5796,11,0.0180865,-18.1606
5796,12,0.0104957,-31.1068
5795,1,0.0193236,-33.0207
5795,2,0.00524024,-30.3471
5795,3,0.0184817,-22.1791
5795,4,0.0124602,-11.8973
5795,5,0.0155857,-2.98742
5795,6,0.0427169,8.72004
5795,7,0.0752434,15.6833
5795,8,0.0688084,13.4157
5795,9,0.0527729,3.83241
5795,10,0.0321469,-8.71246
5795,11,0.0204098,-11.8306
5795,12,0.017465,-23.4733
5794,1,0.00505509,-37.8604
5794,2,0.0101147,-29.3102
5794,3,0.0123711,-24.9606
5794,4,0.0277676,-17.2542
5794,5,0.0191011,-1.0737
5794,6,0.0416922,8.76121
5794,7,0.0748061,14.1737
5794,8,0.0256586,12.4143
5794,9,0.0393341,3.38689
5794,10,0.0285094,-3.20272
5794,11,0.0129446,-19.4856
5794,12,0.00828768,-23.7063
5793,1,0.00762786,-33.6597
5793,2,0.0124718,-23.7638
5793,3,0.0153762,-12.269
5793,4,0.0126593,-11.1355
5793,5,0.0257535,-2.70114
5793,6,0.0394006,8.76838
5793,7,0.0962356,15.2447
5793,8,0.0820788,13.4009
5793,9,0.0554977,5.38875
5793,10,0.0277785,-5.75436
5793,11,0.0150842,-18.2215
5793,12,0.0164857,-19.4409
5792,1,0.00626697,-34.5067
5792,2,0.00790696,-31.1521
5792,3,0.0177192,-32.1244
5792,4,0.0102496,-16.631
5792,5,0.0115409,-0.787779
5792,6,0.0347484,8.2765
5792,7,0.0325381,13.4611
5792,8,0.0299757,11.2792
5792,9,0.0442966,4.84657
5792,10,0.0359894,-5.13964
5792,11,0.0187501,-14.0975
5792,12,0.0111328,-27.5284
5791,1,0.010596,-22.9701
5791,2,0.00790664,-23.302
5791,3,0.0127143,-25.4142
5791,4,0.0205457,-9.76564
5791,5,0.0245664,-4.56598
5791,6,0.0322205,7.29212
5791,7,0.0536032,15.999
5791,8,0.0328558,11.7081
5791,9,0.0266412,4.55467
5791,10,0.0271161,-2.21401
5791,11,0.0218402,-12.0145
5791,12,0.0109139,-33.2558
5790,1,0.0108737,-34.4771
5790,2,0.011656,-24.3153
5790,3,0.0085359,-31.8714
5790,4,0.0150201,-16.3354
5790,5,0.0192537,-1.94766
5790,6,0.0281927,7.59745
5790,7,0.0425735,12.9014
5790,8,0.0301274,12.7093
5790,9,0.0409377,6.17805
5790,10,0.0333695,-2.35323
5790,11,0.0152034,-15.7001
5790,12,0.0179501,-19.0551
5789,1,0.0165687,-29.7744
5789,2,0.00696084,-35.1953
5789,3,0.0128072,-24.1977
5789,4,0.0129724,-15.4112
5789,5,0.0239491,-0.936918
5789,6,0.0282351,6.37427
5789,7,0.0677597,13.5416
5789,8,0.0196989,13.4483
5789,9,0.0467362,2.03282
5789,10,0.0307118,-3.14468
5789,11,0.0145124,-16.581
5789,12,0.0127262,-23.4871
5788,1,0.011261,-36.1534
5788,2,0.00692198,-25.9178
5788,3,0.00928918,-19.0935
5788,4,0.0139016,-11.1013
5788,5,0.0154075,-1.27691
5788,6,0.0529262,7.51395
5788,7,0.0650835,13.4836
5788,8,0.0311875,12.9187
5788,9,0.0351358,3.73964
5788,10,0.0244963,-7.82635
5788,11,0.0107584,-29.7597
5788,12,0.0165509,-26.6149
5787,1,0.0109529,-40.5636
5787,2,0.00473014,-25.8993
5787,3,0.0116783,-26.8308
5787,4,0.0162383,-16.9998
5787,5,0.0186308,-2.71921
5787,6,0.031788,6.37507
5787,7,0.0920148,12.8019
5787,8,0.0322552,11.4639
5787,9,0.0304772,3.69917
5787,10,0.0341989,-4.1368
5787,11,0.0244849,-12.6877
5787,12,0.0156427,-17.1274
5786,1,0.0104976,-30.9235
5786,2,0.00315976,-35.4011
5786,3,0.0120339,-22.8456
5786,4,0.0154862,-9.79316
5786,5,0.0158199,0.944826
5786,6,0.0368938,10.3424
5786,7,0.0580453,16.822
5786,8,0.0420793,12.1974
5786,9,0.0367893,4.6834
5786,10,0.0261115,-2.86016
5786,11,0.0136767,-16.4333
5786,12,0.0145323,-25.0483
5785,1,0.0108904,-28.707
5785,2,0.00774405,-32.9002
5785,3,0.020708,-11.9928
5785,4,0.012709,-16.4975
5785,5,0.0232262,-2.96872
5785,6,0.0442881,6.47929
5785,7,0.0660921,14.7747
5785,8,0.044926,12.6011
5785,9,0.0507057,4.60115
5785,10,0.027534,-5.03841
5785,11,0.0115815,-24.0987
5785,12,0.0181645,-27.9809
5784,1,0.0105289,-21.2533
5784,2,0.0103826,-33.4103
5784,3,0.0112574,-29.0871
5784,4,0.0159477,-14.2615
5784,5,0.0149354,-2.76126
5784,6,0.0464421,9.07185
5784,7,0.0406696,15.2962
