"years_forcing","months_forcing","precipforc_1","tsaforc_1"
7986,2,0.00853294,-20.3756
7986,3,0.00853593,-16.243
7986,4,0.016129,-1.24547
7986,5,0.02412,8.33235
7986,6,0.0636711,16.7362
7986,7,0.13281,18.9693
7986,8,0.0532503,16.4103
7986,9,0.0369041,7.70503
7986,10,0.0096536,0.812982
7986,11,0.0254886,-10.4354
7986,12,0.0216135,-18.1244
7985,1,0.0197131,-32.3164
7985,2,0.00854958,-20.72
7985,3,0.0181987,-23.1492
7985,4,0.0206208,-0.866991
7985,5,0.070114,7.37498
7985,6,0.0673709,15.4234
7985,7,0.0698244,19.9931
7985,8,0.099254,17.8216
7985,9,0.0221848,8.55833
7985,10,0.022811,-0.363441
7985,11,0.028024,-11.0554
7985,12,0.0234808,-28.598
7984,1,0.0107777,-31.5393
7984,2,0.0101421,-11.1825
7984,3,0.0238311,-14.8864
7984,4,0.0396133,-0.00877571
7984,5,0.0469533,8.49085
7984,6,0.0835411,12.224
7984,7,0.0691503,18.9998
7984,8,0.055006,16.8114
7984,9,0.0531919,6.4359
7984,10,0.0282998,0.0235834
7984,11,0.0256724,-23.6488
7984,12,0.026649,-31.7086
7983,1,0.0181528,-29.4296
7983,2,0.00599463,-14.1968
7983,3,0.0185364,-17.5921
7983,4,0.0134743,-8.761
7983,5,0.0805534,5.74644
7983,6,0.126391,13.737
7983,7,0.129616,19.8984
7983,8,0.0411698,17.4079
7983,9,0.0562647,8.19032
7983,10,0.0506992,1.06265
7983,11,0.0287767,-15.8555
7983,12,0.0333111,-30.5929
7982,1,0.0218731,-23.531
7982,2,0.0180773,-20.4509
7982,3,0.0168997,-8.81283
7982,4,0.0199379,-0.206255
7982,5,0.0238889,5.52616
7982,6,0.0647927,14.3454
7982,7,0.122637,20.251
7982,8,0.0402753,16.1905
7982,9,0.0359543,6.99763
7982,10,0.0347732,-0.894416
7982,11,0.0397139,-12.7919
7982,12,0.0329256,-25.5631
7981,1,0.0271712,-25.8755
7981,2,0.0112049,-21.4252
7981,3,0.0171517,-14.304
7981,4,0.0220277,-3.65111
7981,5,0.0483768,8.24568
7981,6,0.0554396,14.3963
7981,7,0.150836,18.5443
7981,8,0.148741,15.5557
7981,9,0.0535,2.85649
7981,10,0.0254739,-3.91373
7981,11,0.0232443,-14.2517
7981,12,0.0194816,-37.0186
7980,1,0.0216526,-27.5929
7980,2,0.00842847,-15.3047
7980,3,0.0163748,-14.9819
7980,4,0.0208464,-5.13783
7980,5,0.0473506,7.74574
7980,6,0.0676531,13.8437
7980,7,0.0580635,18.9215
7980,8,0.0405688,16.4768
7980,9,0.0763798,9.80486
7980,10,0.0278152,1.60934
