"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6607,12,0.0048276,-31.9624
6606,1,0.00552533,-30.4175
6606,2,0.00946166,-36.673
6606,3,0.00708586,-33.188
6606,4,0.00818271,-20.4992
6606,5,0.00600808,-10.4839
6606,6,0.0197359,5.93621
6606,7,0.0286754,12.015
6606,8,0.0144804,11.2593
6606,9,0.0222901,2.66943
6606,10,0.0157979,-8.89157
6606,11,0.00666884,-27.3616
6606,12,0.00963604,-32.8411
6605,1,0.0048747,-31.5422
6605,2,0.00354072,-40.2947
6605,3,0.0107641,-25.2931
6605,4,0.0139646,-17.341
6605,5,0.00770484,-8.25349
6605,6,0.0298022,6.33517
6605,7,0.0460017,13.0877
6605,8,0.0345363,8.02693
6605,9,0.0308837,-2.00648
6605,10,0.016724,-12.8551
6605,11,0.009833,-32.0383
6605,12,0.00769464,-33.1694
6604,1,0.00793256,-35.2188
6604,2,0.0111776,-32.2083
6604,3,0.00571422,-31.1897
6604,4,0.0137203,-21.4101
6604,5,0.00991866,-8.16291
6604,6,0.0198932,3.55209
6604,7,0.0354908,9.64866
6604,8,0.0309601,8.64662
6604,9,0.0276356,0.83233
6604,10,0.0138348,-12.6671
6604,11,0.0099293,-24.0974
6604,12,0.00705604,-34.4946
6603,1,0.00650453,-32.4588
6603,2,0.0148263,-29.9099
6603,3,0.00358325,-32.4602
6603,4,0.0090482,-25.0841
6603,5,0.0120951,-6.73155
6603,6,0.0256501,3.97475
6603,7,0.0347463,10.1747
6603,8,0.0232425,9.6229
6603,9,0.0277464,0.114037
6603,10,0.0174349,-8.94168
6603,11,0.00954302,-26.3963
6603,12,0.00831928,-38.2818
6602,1,0.00434475,-38.9381
6602,2,0.00362473,-41.8286
6602,3,0.0140808,-18.9938
6602,4,0.00879546,-23.4292
6602,5,0.0115055,-9.91313
6602,6,0.0214895,5.35699
6602,7,0.0255526,9.82953
6602,8,0.0235011,9.98573
6602,9,0.025522,-0.278053
6602,10,0.0179455,-12.3283
6602,11,0.0101392,-24.041
6602,12,0.00943194,-31.7076
6601,1,0.00322374,-42.0881
6601,2,0.00711458,-35.7938
6601,3,0.00454497,-32.8809
6601,4,0.00865856,-24.4574
6601,5,0.0120591,-9.58396
6601,6,0.0210413,3.44811
6601,7,0.0363612,10.6111
6601,8,0.0312474,8.76762
6601,9,0.0232795,1.46548
6601,10,0.0221872,-6.39734
6601,11,0.0116704,-29.7224
6601,12,0.0077581,-30.6646
6600,1,0.00482106,-36.8835
6600,2,0.0110451,-24.5268
6600,3,0.0125844,-22.7984
6600,4,0.00660245,-17.6135
6600,5,0.0136701,-6.60328
6600,6,0.0219347,4.15154
6600,7,0.030534,11.6343
6600,8,0.0289983,7.4434
6600,9,0.0291458,1.97332
6600,10,0.0219491,-11.045
6600,11,0.0129046,-25.9978
6600,12,0.00605105,-33.5251
6599,1,0.00536299,-35.3909
6599,2,0.00492044,-35.0849
6599,3,0.00733761,-35.2856
6599,4,0.0054754,-27.7664
6599,5,0.0116752,-8.92054
6599,6,0.0172622,6.34862
6599,7,0.024507,11.3408
6599,8,0.0275538,7.44383
6599,9,0.0257916,-1.24042
6599,10,0.0139098,-13.8187
6599,11,0.00806525,-24.7825
6599,12,0.00858681,-26.4048
6598,1,0.00592841,-32.7251
6598,2,0.00734517,-30.6958
6598,3,0.00463427,-27.1512
6598,4,0.0087558,-15.9336
6598,5,0.0107212,-8.97813
6598,6,0.018195,4.56127
6598,7,0.0311802,9.8823
6598,8,0.0344497,9.5904
6598,9,0.0210901,4.37826
6598,10,0.0256532,-7.3548
6598,11,0.00918562,-24.5915
6598,12,0.0109792,-30.2121
6597,1,0.00917342,-32.0172
6597,2,0.00434036,-44.9923
6597,3,0.00565744,-32.8016
6597,4,0.00548985,-22.0484
6597,5,0.00716854,-8.28218
6597,6,0.0130172,4.59728
6597,7,0.0410431,11.9179
6597,8,0.0265775,10.1673
6597,9,0.0292614,-0.160712
6597,10,0.022191,-4.97525
6597,11,0.00857009,-21.9651
6597,12,0.00972937,-31.7972
6596,1,0.00951963,-31.7803
6596,2,0.00959635,-34.423
6596,3,0.00652047,-34.7497
6596,4,0.00615393,-21.4777
6596,5,0.0118345,-10.2904
6596,6,0.0204888,1.37319
6596,7,0.0284509,10.128
6596,8,0.0233745,8.5034
6596,9,0.023712,0.938195
6596,10,0.0253852,-13.3093
6596,11,0.0105679,-16.692
6596,12,0.00405398,-39.42
6595,1,0.00938818,-34.4309
6595,2,0.00697085,-32.6392
6595,3,0.010902,-32.2744
6595,4,0.00601078,-27.178
6595,5,0.0149926,-6.80815
6595,6,0.0255358,1.43734
6595,7,0.036247,10.3398
6595,8,0.0331127,7.92817
6595,9,0.0198355,0.995324
6595,10,0.0241797,-14.7017
6595,11,0.0119036,-25.9588
6595,12,0.00661432,-33.6384
6594,1,0.00723247,-32.2321
6594,2,0.00362792,-34.8864
6594,3,0.0038976,-31.6899
6594,4,0.00548793,-22.7749
6594,5,0.0107908,-10.5917
6594,6,0.0139726,4.25222
6594,7,0.0281944,9.56559
6594,8,0.0492297,9.86619
6594,9,0.0239571,1.21362
6594,10,0.0153559,-12.4213
6594,11,0.00925332,-31.3606
6594,12,0.00624528,-32.1424
6593,1,0.00822738,-22.04
6593,2,0.00559212,-26.41
6593,3,0.00538901,-31.2445
6593,4,0.0111587,-17.3916
6593,5,0.00909326,-5.91102
6593,6,0.0244806,4.57693
6593,7,0.0135223,12.465
6593,8,0.0345817,8.85011
6593,9,0.0258225,1.16482
6593,10,0.0161751,-5.88825
6593,11,0.00691867,-23.8492
6593,12,0.00719326,-21.9237
6592,1,0.00729744,-31.3616
6592,2,0.0100221,-33.2523
6592,3,0.00517406,-36.2807
6592,4,0.0106319,-25.7342
6592,5,0.00788417,-11.7961
6592,6,0.0183317,3.39989
6592,7,0.0373582,11.3092
6592,8,0.0353176,9.4492
6592,9,0.020459,1.55712
6592,10,0.0212579,-4.21454
6592,11,0.0121902,-22.3101
6592,12,0.00594905,-28.8939
6591,1,0.00731649,-32.3732
6591,2,0.00472652,-30.9292
6591,3,0.00781099,-22.742
6591,4,0.00882163,-18.7512
6591,5,0.00944215,-6.69444
6591,6,0.0159676,3.49172
6591,7,0.0347058,12.2545
