"years_forcing","months_forcing","precipforc_1","tsaforc_1"
7736,1,0.00900388,-29.0903
7736,2,0.00416903,-30.7983
7736,3,0.0129686,-29.756
7736,4,0.010929,-16.8505
7736,5,0.0131722,-5.43754
7736,6,0.0210073,5.85843
7736,7,0.0251063,13.6827
7736,8,0.0328611,12.0234
7736,9,0.0232682,3.10195
7736,10,0.0160225,-5.59289
7736,11,0.0103731,-20.12
7736,12,0.00742093,-29.9138
7735,1,0.0108131,-29.8538
7735,2,0.00605287,-33.7481
7735,3,0.0109249,-21.5478
7735,4,0.0121744,-13.6811
7735,5,0.0115624,-3.42475
7735,6,0.0284971,8.52512
7735,7,0.027358,12.3415
7735,8,0.0293613,11.9075
7735,9,0.0287372,2.38012
7735,10,0.0170043,-12.2475
7735,11,0.00959759,-21.1045
7735,12,0.0116291,-22.5462
7734,1,0.00635509,-37.4906
7734,2,0.00784137,-33.6968
7734,3,0.0122786,-28.0501
7734,4,0.00758845,-22.532
7734,5,0.0112516,-4.24134
7734,6,0.0198862,8.79468
7734,7,0.0382958,12.8963
7734,8,0.0379901,13.9789
7734,9,0.0179088,1.45864
7734,10,0.0226906,-7.44861
7734,11,0.00868171,-28.1496
7734,12,0.00924241,-36.4963
7733,1,0.00898053,-30.7147
7733,2,0.00870304,-33.379
7733,3,0.00467543,-33.95
7733,4,0.0130722,-22.2711
7733,5,0.00906981,-6.42314
7733,6,0.029242,9.29834
7733,7,0.0418683,14.8924
7733,8,0.0288263,11.6646
7733,9,0.0240865,5.49828
7733,10,0.0275436,-9.96768
7733,11,0.0104307,-22.8986
7733,12,0.0175572,-32.0295
7732,1,0.00958784,-36.6205
7732,2,0.010428,-36.6159
7732,3,0.0093383,-33.8058
7732,4,0.00892014,-19.5223
7732,5,0.0138838,-6.12739
7732,6,0.0302199,6.25321
7732,7,0.0317328,13.8641
7732,8,0.0229815,11.9554
7732,9,0.0434834,2.05776
7732,10,0.0136722,-10.8178
7732,11,0.0116913,-32.8076
7732,12,0.006567,-38.7708
7731,1,0.00346548,-47.2151
7731,2,0.0122181,-37.6821
7731,3,0.0119531,-34.895
7731,4,0.00819533,-22.5653
7731,5,0.0119799,-5.60752
7731,6,0.0248271,5.70185
7731,7,0.0236371,13.5551
7731,8,0.0216709,11.7053
7731,9,0.026366,2.68032
7731,10,0.0241708,-4.93261
7731,11,0.0161494,-21.7778
7731,12,0.00268416,-43.1961
7730,1,0.0112125,-43.6859
7730,2,0.00978067,-26.8486
7730,3,0.0124042,-27.1293
7730,4,0.0119916,-16.4574
7730,5,0.0183366,-6.04191
7730,6,0.019134,6.28193
7730,7,0.0182405,15.9487
7730,8,0.02395,10.8503
7730,9,0.0274941,1.544
7730,10,0.0314978,-12.3101
7730,11,0.00476233,-35.5296
7730,12,0.00519316,-34.8176
7729,1,0.0126221,-35.8296
7729,2,0.00660094,-39.5372
7729,3,0.00951862,-29.0217
7729,4,0.0123715,-19.8083
7729,5,0.010857,-8.38432
7729,6,0.0219235,5.94623
7729,7,0.0177214,13.9554
7729,8,0.0381296,12.081
7729,9,0.0247429,-2.28297
7729,10,0.0219618,-13.2565
7729,11,0.0124497,-15.8088
7729,12,0.00708986,-40.0457
7728,1,0.00573608,-42.0836
7728,2,0.0060965,-40.8709
7728,3,0.00878627,-32.6071
7728,4,0.00748236,-19.4657
7728,5,0.0141344,-3.52284
7728,6,0.0207084,7.73847
7728,7,0.0385915,15.2165
7728,8,0.0372931,10.8986
7728,9,0.0446748,3.46434
7728,10,0.0183882,-10.2825
7728,11,0.0129129,-20.3028
7728,12,0.00780369,-34.9519
7727,1,0.00770176,-32.144
7727,2,0.0145979,-29.5634
7727,3,0.0118294,-25.1464
7727,4,0.00883349,-19.4092
7727,5,0.0100462,-7.33781
7727,6,0.0184279,5.60041
7727,7,0.0256018,12.832
7727,8,0.041879,11.1276
7727,9,0.0301474,2.65908
7727,10,0.0296749,-11.8721
7727,11,0.0105483,-27.9229
7727,12,0.0116896,-27.3962
7726,1,0.0156736,-32.4425
7726,2,0.00866836,-37.08
7726,3,0.0130944,-26.3885
7726,4,0.00926696,-17.9424
7726,5,0.00717884,-6.46662
7726,6,0.0267847,8.53388
7726,7,0.0316876,15.2574
7726,8,0.0281572,11.2593
7726,9,0.0309639,1.64611
7726,10,0.0179636,-13.0962
7726,11,0.0119094,-29.5437
7726,12,0.00702102,-28.8695
7725,1,0.00487923,-38.7145
7725,2,0.00619562,-25.726
7725,3,0.00922619,-29.583
7725,4,0.0113436,-15.3528
7725,5,0.014178,-2.40315
7725,6,0.0222898,7.70444
7725,7,0.0353166,11.3935
7725,8,0.0396814,10.135
7725,9,0.0273056,-0.42564
7725,10,0.0181081,-20.1016
7725,11,0.00944793,-26.7954
7725,12,0.00595729,-37.5349
7724,1,0.00753769,-35.9718
7724,2,0.00772902,-30.7256
7724,3,0.00860943,-26.6852
7724,4,0.00908702,-14.9039
7724,5,0.0141005,-3.39305
7724,6,0.0156075,7.9715
7724,7,0.0590447,13.8605
7724,8,0.0327961,10.3775
7724,9,0.0325289,1.90825
7724,10,0.0155156,-17.2742
7724,11,0.0181623,-26.8781
7724,12,0.0118875,-35.3205
7723,1,0.0131044,-33.511
7723,2,0.00899967,-35.3932
7723,3,0.01277,-27.8919
7723,4,0.0121448,-10.272
7723,5,0.0158278,-4.13523
7723,6,0.0318396,7.25492
7723,7,0.0223357,14.5263
7723,8,0.0312491,12.7596
7723,9,0.0350074,4.07702
7723,10,0.0190731,-10.7285
7723,11,0.0183951,-22.2424
7723,12,0.00952085,-25.8017
7722,1,0.0070133,-36.1563
7722,2,0.0123779,-35.1369
7722,3,0.00621179,-29.7189
7722,4,0.0107231,-14.7814
7722,5,0.019457,-7.02995
7722,6,0.0107383,9.77506
7722,7,0.0322808,14.2708
7722,8,0.0238923,11.7779
7722,9,0.0305258,3.62197
7722,10,0.0203787,-9.19378
7722,11,0.0124371,-23.6668
7722,12,0.00628117,-39.408
7721,1,0.0028845,-44.6568
7721,2,0.0106341,-27.804
7721,3,0.00974272,-29.0476
7721,4,0.0155095,-20.0825
7721,5,0.0126757,-3.80851
7721,6,0.0233143,7.39722
7721,7,0.0453435,13.5241
7721,8,0.0387551,11.0732
7721,9,0.0271167,2.8106
7721,10,0.01577,-12.964
7721,11,0.0173086,-19.8088
7721,12,0.0107612,-33.9603
7720,1,0.00729013,-30.1232
